1959		Genre:	Action	Mean:	5.91		Standard Deviation:	1.26
1959		Genre:	Adventure	Mean:	5.91		Standard Deviation:	1.25
1959		Genre:	Comedy	Mean:	6.14		Standard Deviation:	1.95
1959		Genre:	Crime	Mean:	6.0		Standard Deviation:	1.9
1959		Genre:	Drama	Mean:	6.03		Standard Deviation:	1.88
1959		Genre:	Family	Mean:	6.27		Standard Deviation:	2.14
1959		Genre:	Fantasy	Mean:	5.35		Standard Deviation:	1.96
1959		Genre:	Horror	Mean:	5.35		Standard Deviation:	1.02
1959		Genre:	Mystery	Mean:	6.7		Standard Deviation:	0.81
1959		Genre:	Romance	Mean:	6.06		Standard Deviation:	1.79
1959		Genre:	Science Fiction	Mean:	5.13		Standard Deviation:	1.05
